Student_name,Student_letter_grade,Student_final_grade,final_exam_score,midterm_grade,midterm_letter_grade,midterm_exam_score,weely_hours_spent_studying _class,weekly_hours_spent_studying_general,weekly_hw_hours_general,weekly_hours_on_hw_class,effort_in_class,effort_outof_class,Study_group,Weekly_time_with_SG,low_sleep,high_sleep,exercise,taken_class_before,feelings_towards_teacher,student_height,student_weight,student_eyecolor,student_average_hw_grade,student_ID,student_credit_hours,student_nickname,student_nickname_ID,student_gpa,student_gpa_before,student_gpa_after,student_seated_row,student_seated_side,A
Lex Esparza,F,42.85,66.15,12,F,87.77,14,15,7,9,Medium,High,N,13,2,11,Y,Y,,tall,171.98,green,93,D9A9C2,23,Colby,ColbyD9A9C2,2.86,2.86,0.50,15,Right,
Sunil Sinclair,A-,92.50,61.74,88,B+,49.02,15,15,15,13,Low,Low,N,9,2,9,Y,N,,medium height,210.43,green,61,6BN55G,13,Yasmeen,Yasmeen6BN55G,3.77,3.77,2.95,3,Right,
Yehuda Trejo,F,28.32,69.95,92,A-,79.17,9,20,10,12,Low,Low,Y,29,5,8,Y,N,,tall,79.47,blue,99,9B5M6S,24,Kayan,Kayan9B5M6S,3.11,3.11,0.77,12,Left,
Waqas Bloggs,D-,62.33,77.10,2,F,73.05,13,15,1,3,High,Medium,Y,2,5,11,Y,Y,,very short,240.09,blue,49,QE6KD7,19,Mariah,MariahQE6KD7,1.68,1.68,1.66,10,Mid,
Roxy Sutherland,F,21.87,11.96,47,F,93.39,11,11,9,19,Low,High,N,21,5,10,N,Y,,above average height,261.57,green,20,HOCC33,5,Saffa,SaffaHOCC33,1.65,1.65,3.52,2,Left,
Teigan Hardy,F,22.34,9.57,73,C,8.84,5,3,5,9,High,High,N,30,6,11,Y,Y,,tall,54.53,blue,71,MS0KXJ,22,Tomas,TomasMS0KXJ,0.18,0.18,1.08,10,Left,
Johanna Cairns,F,58.71,53.06,38,F,15.81,18,2,20,6,Medium,High,N,2,2,10,Y,N,,about average height,187.90,brown,61,0CKCA6,18,Ivy-Rose,Ivy-Rose0CKCA6,0.76,0.76,1.12,3,Right,
Maya Young,F,10.28,44.84,21,F,42.72,19,20,17,14,High,Medium,N,8,4,10,N,Y,,tallish,213.47,green,50,JHXLTX,5,Edna,EdnaJHXLTX,1.52,1.52,0.24,1,Right,
Cherish Christian,D,64.15,76.62,86,B,20.99,18,3,7,12,High,High,N,40,5,11,Y,N,,about average height,70.16,green,99,U2EFUV,6,Andrew,AndrewU2EFUV,0.52,0.52,1.63,1,Left,
Derren Connolly,F,22.79,30.23,2,F,27.82,3,4,9,11,Medium,Medium,N,27,5,9,N,Y,,about average height,215.08,blue,64,1H4P0M,6,Keziah,Keziah1H4P0M,0.72,0.72,1.79,15,Right,
Kristin Bryan,C,74.41,4.26,33,F,65.14,17,6,11,3,High,Low,Y,37,4,10,Y,Y,,above average height,26.12,brown,70,Q492OL,24,Maxine,MaxineQ492OL,0.20,0.20,0.44,10,Left,
Junior Castaneda,B,86.11,45.08,51,F,69.98,13,8,8,2,Low,Medium,Y,32,1,11,N,Y,,tall,27.88,green,83,LKND8D,5,Kelan,KelanLKND8D,1.92,1.92,1.54,16,Right,
Josephine Benton,F,22.93,14.44,18,F,48.46,0,7,18,1,Medium,High,N,32,4,9,Y,N,,tall,231.63,blue,37,YH7IKM,24,Raveena,RaveenaYH7IKM,1.22,1.22,1.48,6,Left,
Simon Dalton,A,94.83,12.45,87,B,6.12,19,3,18,1,Low,High,N,34,4,7,Y,Y,,shortish,119.34,brown,33,GYI3SP,24,Oscar,OscarGYI3SP,1.75,1.75,1.84,13,Left,
Layla-Mae Kouma,F,26.82,64.90,48,F,65.24,16,17,15,1,Low,Medium,Y,21,3,7,Y,N,,,93.84,green,90,HVPISZ,17,Hammad,HammadHVPISZ,2.01,2.01,1.70,9,Mid,
Hamish Blaese,F,16.77,89.74,62,D-,23.29,11,9,17,15,Low,Low,N,26,4,7,Y,Y,,about average height,206.10,brown,58,NNE5O3,14,Mandeep,MandeepNNE5O3,3.62,3.62,1.85,8,Mid,
Natalia Callaghan,A,94.12,20.56,73,C,61.30,14,5,13,1,High,Medium,Y,27,3,9,N,Y,,above average height,62.45,brown,39,CM9LBE,23,Primrose,PrimroseCM9LBE,2.88,2.88,0.74,13,Mid,
Henry Mcloughlin,B+,86.81,59.60,18,F,85.73,17,1,11,13,High,Low,N,12,5,7,Y,Y,,very short,167.25,green,59,WOMIUS,6,Roger,RogerWOMIUS,1.18,1.18,2.57,3,Mid,
Danika Meyer,F,22.33,24.87,24,F,38.14,7,20,9,11,High,High,N,37,2,10,Y,N,,about average height,278.29,brown,78,8N486E,9,Ananya,Ananya8N486E,2.15,2.15,3.89,13,Right,
Ahmed Mcmahon,F,3.38,52.53,28,F,37.44,7,2,16,6,Low,Medium,N,32,3,10,Y,Y,,about average height,239.33,brown,51,GQ56CJ,2,Cade,CadeGQ56CJ,3.50,3.50,3.54,13,Right,
Asmaa Taylor,F,18.36,26.90,64,D,90.32,5,18,19,17,Low,Medium,N,30,4,8,N,N,,very short,59.38,green,30,G0BO2F,7,Tiegan,TieganG0BO2F,1.29,1.29,2.05,2,Right,
Aamir David,F,13.65,90.14,49,F,21.17,17,8,0,15,High,Low,Y,15,4,11,Y,N,,about average height,34.71,brown,46,B4QWWV,19,Bethan,BethanB4QWWV,3.56,3.56,1.51,2,Left,
Hadassah Mercado,B,84.84,33.82,98,A,84.25,0,7,14,6,Medium,Medium,N,29,1,8,Y,Y,,medium height,287.19,brown,89,ZOKPAJ,22,Chiara,ChiaraZOKPAJ,0.47,0.47,3.96,16,Mid,
Hina Kay,F,22.77,43.96,67,D+,18.40,10,16,4,20,High,Medium,N,26,2,11,Y,Y,,medium height,250.85,brown,45,ITWYS9,8,Anwen,AnwenITWYS9,3.44,3.44,0.06,13,Right,
Alima Wormald,F,19.15,51.53,58,F,12.89,8,10,9,1,Low,Medium,N,31,5,7,N,Y,,above average height,135.87,blue,34,KF4RT7,8,Clark,ClarkKF4RT7,1.11,1.11,2.03,12,Right,
Jazmin Rogers,F,22.12,68.43,63,D-,94.55,17,9,10,10,Medium,Low,N,6,6,10,N,Y,,tall,100.41,green,97,RU3BPY,11,Melissa,MelissaRU3BPY,1.65,1.65,1.81,8,Mid,
Gino Tyson,C,74.69,73.94,79,C+,15.75,13,18,12,7,Medium,Low,Y,25,6,8,N,N,,below average height,31.81,blue,15,QGZEEX,18,Usmaan,UsmaanQGZEEX,3.91,3.91,0.17,1,Right,
Daisy-Mae Dolan,A,94.94,84.32,12,F,16.55,6,1,7,8,Low,Medium,Y,24,2,9,Y,N,,shortish,20.57,blue,98,KWMP7P,12,Marissa,MarissaKWMP7P,2.06,2.06,0.75,16,Mid,
Inayah Blackburn,B-,80.29,88.74,18,F,38.34,13,5,8,14,High,Medium,N,35,4,7,N,Y,,about average height,42.15,blue,45,XT64JZ,23,Vinny,VinnyXT64JZ,0.60,0.60,2.29,2,Left,
Asha Kirk,A-,91.65,10.44,79,C+,77.23,10,13,9,10,Medium,High,N,40,3,9,Y,N,,above average height,180.46,green,18,GA7FR1,10,Nadine,NadineGA7FR1,0.48,0.48,2.89,9,Left,
Zackery Heath,F,52.76,20.28,58,F,9.40,15,14,12,16,High,Medium,Y,22,5,7,N,N,,very tall,91.91,blue,76,G8EVRB,3,Persephone,PersephoneG8EVRB,0.87,0.87,2.78,16,Left,
Jeanette Ford,F,2.96,47.57,43,F,6.57,19,8,19,5,Medium,Medium,Y,12,3,10,Y,Y,,above average height,117.16,blue,91,DZDHNF,7,Selin,SelinDZDHNF,0.07,0.07,2.33,6,Mid,
Onur Lyons,F,34.35,31.58,4,F,82.85,12,5,5,9,Medium,High,Y,6,6,9,N,N,,above average height,75.74,brown,89,1787AQ,3,Woodrow,Woodrow1787AQ,3.39,3.39,2.10,12,Mid,
Michele Stewart,F,36.37,82.69,40,F,0.23,12,5,10,1,Low,Medium,Y,29,1,10,N,Y,,below average height,145.15,brown,57,V0LUT5,3,Humza,HumzaV0LUT5,2.34,2.34,3.25,13,Mid,
Reilly Bass,C+,79.36,99.83,69,D+,60.42,11,17,6,3,Medium,Medium,N,38,1,8,N,N,,medium height,86.86,brown,57,793LVQ,4,Mattie,Mattie793LVQ,3.59,3.59,0.53,12,Right,
Maksim Rowland,D+,67.61,98.10,63,D-,33.10,4,0,17,6,High,Medium,Y,15,3,7,Y,N,,about average height,296.03,brown,30,F24I25,12,Alessio,AlessioF24I25,1.51,1.51,3.21,1,Left,
Amanda Russell,F,48.97,25.06,12,F,59.27,20,8,18,15,Low,Medium,N,9,2,8,N,N,,medium height,168.36,brown,65,FC0ARR,3,Chyna,ChynaFC0ARR,0.95,0.95,3.05,14,Left,
Norah Holmes,B,83.18,17.28,75,C,38.51,0,13,1,16,Low,Low,Y,25,4,8,N,Y,,about average height,187.14,green,71,AGP8M8,3,Ptolemy,PtolemyAGP8M8,3.91,3.91,0.93,13,Right,
Liam Mellor,F,13.83,45.49,51,F,85.37,4,3,15,7,Medium,High,Y,24,2,10,N,Y,,about average height,264.99,brown,38,O1J194,5,Domonic,DomonicO1J194,0.17,0.17,0.32,13,Left,
Cara Worthington,F,36.99,96.94,44,F,60.32,1,3,20,11,Low,Low,Y,20,1,11,N,Y,,below average height,282.84,blue,15,H5LAHL,9,Phillippa,PhillippaH5LAHL,2.91,2.91,2.94,15,Mid,
Kunal Hibbert,F,20.13,5.79,67,D,72.61,16,18,14,16,Low,Medium,Y,11,2,10,N,Y,,,205.49,blue,99,JR3DIJ,4,Connagh,ConnaghJR3DIJ,3.85,3.85,1.27,15,Mid,
Lena Cervantes,F,39.50,49.65,92,A-,59.33,18,17,2,20,Medium,High,N,3,5,8,Y,N,,,137.27,brown,67,Q62NOB,10,Vlad,VladQ62NOB,3.34,3.34,2.67,11,Left,
Kodi Talley,A,95.87,15.00,33,F,27.41,12,13,18,4,High,Medium,N,19,5,11,Y,Y,,short,230.48,blue,61,FSYRD9,23,Luqman,LuqmanFSYRD9,3.47,3.47,2.20,9,Right,
Carlo Hollis,F,40.87,14.76,74,C,52.72,2,10,11,5,Low,High,Y,30,5,7,N,Y,,above average height,248.53,brown,35,A9C26B,15,Sara,SaraA9C26B,1.97,1.97,1.60,7,Left,
Lois Barber,F,0.47,49.75,94,A,28.33,15,9,16,19,Low,Medium,N,5,3,9,Y,N,,shortish,28.29,brown,80,N55G9B,5,Zaynah,ZaynahN55G9B,3.63,3.63,3.91,16,Right,
Emmy Britt,B+,89.27,59.18,69,D+,13.58,12,10,14,16,Low,High,N,33,5,11,N,N,,tall,57.95,green,49,5M6SQE,16,Rianna,Rianna5M6SQE,1.16,1.16,3.54,3,Mid,
Alyce Campos,F,39.42,70.00,10,F,9.43,14,13,19,19,High,Low,Y,13,1,7,Y,N,,above average height,197.51,blue,9,6KD7HO,15,Zahraa,Zahraa6KD7HO,1.35,1.35,2.31,14,Mid,
Jerome Mackay,B,86.49,47.08,80,B-,99.46,3,19,17,6,Low,Low,N,30,2,11,N,Y,,short,80.59,brown,65,CC33MS,24,Elwood,ElwoodCC33MS,1.57,1.57,3.22,16,Right,
Myles Singh,F,50.07,57.86,80,B-,82.18,10,15,15,8,Low,Medium,N,40,1,8,N,N,,shortish,128.06,brown,21,0KXJ0C,16,Mikey,Mikey0KXJ0C,3.82,3.82,3.13,16,Left,
Brooke O'Neill,F,32.34,32.12,2,F,37.99,6,2,2,16,High,High,N,13,6,7,Y,N,,below average height,78.11,blue,12,KCA6JH,5,Hamzah,HamzahKCA6JH,2.51,2.51,1.25,10,Mid,
Brian Broughton,A,98.35,64.90,56,F,69.94,0,5,1,20,Low,Medium,Y,35,5,8,N,N,,above average height,14.28,green,73,XLTXU2,11,Inigo,InigoXLTXU2,2.59,2.59,3.50,11,Mid,
Cosmo Peralta,F,55.97,8.19,87,B+,0.55,6,18,13,2,Medium,Medium,N,24,4,7,Y,Y,,medium height,71.16,green,12,EFUV1H,9,Marsha,MarshaEFUV1H,0.97,0.97,0.28,2,Left,
Salma Robinson,F,11.18,17.56,31,F,69.76,0,10,17,9,High,Low,N,5,3,8,N,Y,,tall,214.01,blue,79,4P0MQ4,1,Haris,Haris4P0MQ4,2.12,2.12,3.97,8,Mid,
Wilbur Mcmillan,F,35.11,32.25,29,F,27.52,1,14,13,17,Medium,Medium,Y,8,2,8,Y,Y,,about average height,82.28,brown,29,92OLLK,7,Kaylen,Kaylen92OLLK,1.32,1.32,2.94,13,Mid,
Lorelai Mccann,F,8.37,34.05,99,A,21.97,8,12,1,7,High,Medium,N,11,2,8,Y,N,,above average height,222.31,green,44,ND8DYH,7,Aimee,AimeeND8DYH,3.77,3.77,3.28,12,Left,
Saqlain Hodge,F,56.00,54.87,51,F,29.67,3,20,10,16,Medium,High,Y,36,5,9,Y,Y,,medium height,24.16,brown,88,7IKMGY,5,Samual,Samual7IKMGY,2.25,2.25,3.47,7,Left,
Hunter Allman,C-,72.15,8.26,51,F,85.68,6,20,5,3,Medium,High,N,9,2,10,Y,Y,,above average height,48.69,brown,89,I3SPHV,17,Teagan,TeaganI3SPHV,0.89,0.89,2.62,12,Right,
Jameel Hays,F,23.85,51.63,42,F,53.36,14,11,15,12,Low,Low,N,20,5,9,N,N,,,104.58,green,46,PISZNN,21,Mia-Rose,Mia-RosePISZNN,2.96,2.96,1.80,5,Left,
Ethan Stevenson,F,6.11,20.28,48,F,67.64,3,0,0,4,Medium,Medium,Y,22,2,10,N,Y,,very short,55.79,blue,29,E5O3CM,13,Rebecca,RebeccaE5O3CM,1.48,1.48,0.64,1,Left,
Hoorain Byrne,F,53.23,19.29,77,C,61.69,11,14,10,4,Low,Medium,Y,1,2,8,N,N,,about average height,113.85,green,46,9LBEWO,1,Chantelle,Chantelle9LBEWO,3.19,3.19,1.57,12,Mid,
Iylah Berry,C,72.54,69.42,39,F,21.77,2,17,9,2,Low,High,N,21,6,11,N,N,,medium height,25.95,blue,28,MIUS8N,2,Colm,ColmMIUS8N,3.05,3.05,0.11,10,Left,
Bonnie Lambert,B,82.54,89.17,8,F,17.18,5,4,8,14,High,Medium,N,7,2,11,Y,N,,above average height,291.07,green,10,486EGQ,10,Joy,Joy486EGQ,0.88,0.88,1.38,11,Right,
Faith Edwards,B+,87.30,89.67,9,F,55.61,20,9,16,0,Low,High,Y,36,1,11,Y,Y,,below average height,55.28,green,3,56CJG0,16,Cem,Cem56CJG0,3.32,3.32,0.34,15,Mid,
Milly Simons,F,18.50,45.30,85,B,99.99,5,7,17,10,Medium,Medium,N,3,4,9,Y,N,,about average height,115.56,green,80,BO2FB4,7,Ravinder,RavinderBO2FB4,2.11,2.11,1.49,10,Mid,
Harlen Byers,F,49.04,33.68,77,C,5.87,15,5,4,10,High,Low,N,27,2,9,N,N,,below average height,15.77,green,93,QWWVZO,11,Lucille,LucilleQWWVZO,2.76,2.76,1.77,15,Mid,
Areeba Villalobos,F,32.07,26.94,95,A,89.60,5,9,17,4,Low,Low,N,33,6,7,Y,Y,,very tall,121.10,brown,88,KPAJIT,23,Ellisha,EllishaKPAJIT,2.08,2.08,1.67,5,Mid,
Tymon Bean,F,25.69,81.68,29,F,63.29,3,3,2,2,High,High,N,27,5,8,N,Y,,short,297.03,blue,9,WYS9KF,7,Vicki,VickiWYS9KF,1.01,1.01,3.08,2,Left,
Rosina Tanner,C-,70.95,62.45,60,D-,99.10,2,17,2,9,High,High,N,14,2,10,N,N,,medium height,14.87,green,29,4RT7RU,3,Rickie,Rickie4RT7RU,2.97,2.97,3.01,5,Mid,
Roma Conner,B,83.44,28.25,44,F,67.78,5,18,11,13,High,High,N,31,5,11,N,Y,,above average height,264.18,blue,31,3BPYQG,10,Kalum,Kalum3BPYQG,0.83,0.83,0.16,1,Mid,
Stanislaw Atkins,C-,71.14,19.64,23,F,38.19,14,13,5,17,Medium,High,N,4,6,11,Y,Y,,above average height,113.81,green,96,ZEEXKW,19,Cole,ColeZEEXKW,3.66,3.66,2.37,16,Right,
Saffa Daly,F,35.51,87.27,44,F,90.96,7,1,2,12,High,High,Y,14,1,11,Y,N,,short,212.42,brown,20,MP7PXT,24,Jerry,JerryMP7PXT,2.68,2.68,1.36,16,Left,
Aneesha Kinney,A,93.00,90.34,8,F,59.77,9,3,2,9,Low,High,Y,34,4,7,Y,N,,above average height,216.68,blue,56,64JZGA,18,Paisley,Paisley64JZGA,3.10,3.10,2.33,3,Mid,
Rubi Workman,F,51.56,62.60,42,F,38.44,14,19,13,4,High,Low,Y,26,1,9,Y,N,,,258.48,brown,34,7FR1G8,24,Jamel,Jamel7FR1G8,2.66,2.66,1.35,3,Mid,
Melina Decker,F,33.68,38.65,72,C-,1.58,15,9,6,6,Low,Low,Y,16,1,11,Y,Y,,about average height,60.93,brown,46,EVRBDZ,1,Charis,CharisEVRBDZ,1.37,1.37,3.23,7,Right,
Charity Simpson,D-,59.60,47.21,56,F,46.77,15,1,7,16,High,High,N,29,1,10,Y,N,,tallish,255.95,green,76,DHNF17,11,Dolcie,DolcieDHNF17,0.82,0.82,2.41,12,Left,
Ava-Mai Patrick,F,44.85,64.28,48,F,28.58,4,20,11,14,Low,High,Y,17,1,9,N,Y,,short,46.04,blue,82,87AQV0,2,Diesel,Diesel87AQV0,0.45,0.45,0.73,11,Left,
Bevan Miles,D,63.72,48.42,11,F,63.77,0,7,8,5,Low,Medium,N,14,6,11,Y,Y,,tall,108.69,green,52,LUT579,3,Sky,SkyLUT579,0.58,0.58,0.92,13,Mid,
Ronnie Truong,F,3.44,34.20,65,D,56.45,6,7,18,4,Low,Low,N,3,4,9,Y,Y,,above average height,124.44,blue,69,3LVQF2,15,Ammara,Ammara3LVQF2,0.48,0.48,1.13,13,Left,
Hermione Parry,C+,77.21,31.78,89,B+,47.31,0,4,18,1,Low,Low,Y,5,3,7,Y,N,,below average height,258.00,blue,23,4I25FC,1,Hywel,Hywel4I25FC,2.79,2.79,3.42,15,Left,
Bridget Correa,F,8.81,10.66,39,F,19.42,1,10,5,5,Low,Medium,Y,23,3,7,N,N,,tall,137.19,blue,4,0ARRAG,5,Thomas,Thomas0ARRAG,2.68,2.68,2.52,10,Right,
Clark Dyer,D+,66.79,42.92,57,F,57.13,14,18,0,15,High,Medium,N,29,4,10,N,Y,,shortish,134.40,brown,30,P8M8O1,5,Marian,MarianP8M8O1,1.24,1.24,1.21,4,Right,
Sanya Murillo,F,26.67,7.34,89,B+,48.76,0,13,18,18,High,High,N,15,1,10,Y,Y,,above average height,2.47,green,30,J194H5,15,Bronte,BronteJ194H5,0.31,0.31,2.99,12,Left,
Alfie Howell,B-,80.89,4.61,7,F,64.20,3,18,7,10,Low,Low,N,19,4,10,Y,N,,medium height,73.58,brown,18,LAHLJR,1,Hasnain,HasnainLAHLJR,3.26,3.26,0.40,6,Left,
Nichola Liu,F,21.04,80.19,85,B,65.61,11,17,17,8,High,High,Y,2,3,11,Y,N,,above average height,258.34,blue,51,3DIJQ6,14,Jonathon,Jonathon3DIJQ6,1.66,1.66,3.87,7,Mid,
Karter Sharp,F,42.91,23.02,25,F,11.29,10,11,20,0,Low,Low,Y,36,3,11,Y,N,,shortish,294.05,blue,33,2NOBFS,11,Aaran,Aaran2NOBFS,2.51,2.51,0.79,6,Left,
Tanisha Traynor,D+,67.38,65.18,31,F,67.94,1,4,6,10,Low,Medium,N,40,6,8,Y,Y,,about average height,51.94,green,34,YRD9A9,7,Juniper,JuniperYRD9A9,3.57,3.57,1.00,10,Right,
Ellena Cairns,F,28.13,12.03,51,F,76.47,20,7,1,10,High,High,Y,5,2,11,N,Y,,above average height,208.63,brown,100,C26BN5,1,Connor,ConnorC26BN5,3.72,3.72,3.11,11,Right,
Arthur Atkins,C-,71.99,84.45,39,F,23.79,13,8,15,5,High,High,N,11,1,9,Y,Y,,above average height,85.47,blue,44,5G9B5M,7,Anastazja,Anastazja5G9B5M,1.14,1.14,3.95,9,Right,
Hattie Heaton,F,25.68,28.23,22,F,77.41,20,13,16,17,Low,Low,N,9,4,9,N,Y,,short,31.02,blue,76,6SQE6K,22,Mujtaba,Mujtaba6SQE6K,0.49,0.49,0.12,16,Mid,
Alessandra Brennan,F,54.50,88.03,4,F,62.72,19,5,17,13,Low,High,N,28,2,7,N,Y,,medium height,73.88,brown,40,D7HOCC,12,Beulah,BeulahD7HOCC,1.45,1.45,0.45,6,Right,
Kameron Brookes,F,20.69,32.49,82,B-,23.93,7,13,16,2,Medium,High,N,7,4,9,Y,Y,,very tall,64.59,green,27,33MS0K,13,Reo,Reo33MS0K,2.47,2.47,0.10,13,Right,
